tag	i	q	k	actual
gamma	758	0.999100	3.597	2
gamma	759	0.999125	3.497	3
gamma	760	0.999145	3.417	1
gamma	761	0.999160	3.357	2
gamma	762	0.999175	3.297	1
gamma	763	0.999185	3.257	1
gamma	764	0.999200	3.197	2
gamma	765	0.999215	3.138	1
gamma	766	0.999230	3.078	2
gamma	767	0.999245	3.018	1
gamma	768	0.999255	2.978	1
gamma	769	0.999265	2.938	1
gamma	770	0.999275	2.898	1
gamma	771	0.999285	2.858	1
gamma	772	0.999300	2.798	2
gamma	773	0.999315	2.738	1
gamma	774	0.999330	2.678	2
gamma	775	0.999350	2.598	2
gamma	776	0.999365	2.538	1
gamma	777	0.999375	2.498	1
gamma	778	0.999385	2.458	1
gamma	779	0.999395	2.419	1
gamma	780	0.999405	2.379	1
gamma	781	0.999415	2.339	1
gamma	782	0.999430	2.279	2
gamma	783	0.999445	2.219	1
gamma	784	0.999460	2.159	2
gamma	785	0.999475	2.099	1
gamma	786	0.999485	2.059	1
gamma	787	0.999495	2.019	1
gamma	788	0.999505	1.979	1
gamma	789	0.999515	1.939	1
gamma	790	0.999525	1.899	1
gamma	791	0.999535	1.859	1
gamma	792	0.999545	1.819	1
gamma	793	0.999555	1.779	1
gamma	794	0.999565	1.739	1
gamma	795	0.999575	1.699	1
gamma	796	0.999585	1.659	1
gamma	797	0.999595	1.619	1
gamma	798	0.999605	1.579	1
gamma	799	0.999615	1.539	1
gamma	800	0.999625	1.499	1
gamma	801	0.999635	1.459	1
gamma	802	0.999645	1.419	1
gamma	803	0.999655	1.380	1
gamma	804	0.999665	1.340	1
gamma	805	0.999675	1.300	1
gamma	806	0.999685	1.260	1
gamma	807	0.999695	1.220	1
gamma	808	0.999705	1.180	1
gamma	809	0.999715	1.140	1
gamma	810	0.999725	1.100	1
gamma	811	0.999735	1.060	1
gamma	812	0.999745	1.020	1
gamma	813	0.999755	0.980	1
gamma	814	0.999765	0.940	1
gamma	815	0.999775	0.900	1
gamma	816	0.999785	0.860	1
gamma	817	0.999795	0.820	1
gamma	818	0.999805	0.780	1
gamma	819	0.999815	0.740	1
gamma	820	0.999825	0.700	1
gamma	821	0.999835	0.660	1
gamma	822	0.999845	0.620	1
gamma	823	0.999855	0.580	1
gamma	824	0.999865	0.540	1
gamma	825	0.999875	0.500	1
gamma	826	0.999885	0.460	1
gamma	827	0.999895	0.420	1
gamma	828	0.999905	0.380	1
gamma	829	0.999915	0.340	1
gamma	830	0.999925	0.300	1
gamma	831	0.999935	0.260	1
gamma	832	0.999945	0.220	1
gamma	833	0.999955	0.180	1
gamma	834	0.999965	0.140	1
gamma	835	0.999975	0.100	1
gamma	836	0.999985	0.060	1
gamma	837	0.999995	0.020	1
gamma	0	0.000005	0.020	1
gamma	1	0.000015	0.060	1
gamma	2	0.000025	0.100	1
gamma	3	0.000035	0.140	1
gamma	4	0.000045	0.180	1
gamma	5	0.000055	0.220	1
gamma	6	0.000065	0.260	1
gamma	7	0.000075	0.300	1
gamma	8	0.000085	0.340	1
gamma	9	0.000095	0.380	1
gamma	10	0.000105	0.420	1
gamma	11	0.000115	0.460	1
gamma	12	0.000125	0.500	1
gamma	13	0.000135	0.540	1
gamma	14	0.000145	0.580	1
gamma	15	0.000155	0.620	1
gamma	16	0.000165	0.660	1
gamma	17	0.000175	0.700	1
gamma	18	0.000185	0.740	1
gamma	19	0.000195	0.780	1
gamma	20	0.000205	0.820	1
gamma	21	0.000215	0.860	1
gamma	22	0.000225	0.900	1
gamma	23	0.000235	0.940	1
gamma	24	0.000245	0.980	1
gamma	25	0.000255	1.020	1
gamma	26	0.000265	1.060	1
gamma	27	0.000275	1.100	1
gamma	28	0.000285	1.140	1
gamma	29	0.000295	1.180	1
gamma	30	0.000305	1.220	1
gamma	31	0.000315	1.260	1
gamma	32	0.000325	1.300	1
gamma	33	0.000335	1.340	1
gamma	34	0.000345	1.380	1
gamma	35	0.000355	1.419	1
gamma	36	0.000365	1.459	1
gamma	37	0.000375	1.499	1
gamma	38	0.000385	1.539	1
gamma	39	0.000395	1.579	1
gamma	40	0.000405	1.619	1
gamma	41	0.000415	1.659	1
gamma	42	0.000425	1.699	1
gamma	43	0.000435	1.739	1
gamma	44	0.000445	1.779	1
gamma	45	0.000455	1.819	1
gamma	46	0.000465	1.859	1
gamma	47	0.000475	1.899	1
gamma	48	0.000485	1.939	1
gamma	49	0.000495	1.979	1
gamma	50	0.000505	2.019	1
gamma	51	0.000515	2.059	1
gamma	52	0.000525	2.099	1
gamma	53	0.000535	2.139	1
gamma	54	0.000545	2.179	1
gamma	55	0.000555	2.219	1
gamma	56	0.000565	2.259	1
gamma	57	0.000575	2.299	1
gamma	58	0.000585	2.339	1
gamma	59	0.000595	2.379	1
gamma	60	0.000605	2.419	1
gamma	61	0.000620	2.478	2
gamma	62	0.000635	2.538	1
gamma	63	0.000645	2.578	1
gamma	64	0.000655	2.618	1
gamma	65	0.000670	2.678	2
gamma	66	0.000685	2.738	1
gamma	67	0.000695	2.778	1
gamma	68	0.000705	2.818	1
gamma	69	0.000720	2.878	2
gamma	70	0.000740	2.958	2
gamma	71	0.000760	3.038	2
gamma	72	0.000775	3.098	1
gamma	73	0.000785	3.138	1
gamma	74	0.000800	3.197	2
gamma	75	0.000820	3.277	2
gamma	76	0.000840	3.357	2
gamma	77	0.000860	3.437	2
gamma	78	0.000880	3.517	2
gamma	79	0.000905	3.617	3
gamma	80	0.000935	3.737	3
gamma	81	0.000960	3.836	2
gamma	82	0.000985	3.936	3
gamma	83	0.001010	4.036	2
gamma	84	0.001025	4.096	1
gamma	85	0.001035	4.136	1
gamma	86	0.001050	4.196	2
gamma	87	0.001065	4.255	1
gamma	88	0.001080	4.315	2
gamma	89	0.001100	4.395	2
gamma	90	0.001130	4.515	4
gamma	91	0.001160	4.635	2
gamma	92	0.001185	4.734	3
gamma	93	0.001205	4.814	1
gamma	94	0.001220	4.874	2
gamma	95	0.001240	4.954	2
gamma	96	0.001255	5.014	1
gamma	97	0.001270	5.074	2
gamma	98	0.001285	5.133	1
gamma	99	0.001300	5.193	2
gamma	100	0.001325	5.293	3
gamma	101	0.001350	5.393	2
gamma	102	0.001380	5.512	4
gamma	103	0.001405	5.612	1
gamma	104	0.001425	5.692	3
gamma	105	0.001460	5.831	4
gamma	106	0.001500	5.991	4
gamma	107	0.001535	6.131	3
gamma	108	0.001570	6.270	4
gamma	109	0.001595	6.370	1
gamma	110	0.001620	6.470	4
gamma	111	0.001665	6.649	5
gamma	112	0.001700	6.788	2
gamma	113	0.001725	6.888	3
gamma	114	0.001750	6.988	2
gamma	115	0.001770	7.067	2
gamma	116	0.001810	7.227	6
gamma	117	0.001850	7.386	2
gamma	118	0.001880	7.506	4
gamma	119	0.001920	7.665	4
gamma	120	0.001965	7.845	5
gamma	121	0.002005	8.004	3
gamma	122	0.002040	8.143	4
gamma	123	0.002070	8.263	2
gamma	124	0.002095	8.362	3
gamma	125	0.002125	8.482	3
gamma	126	0.002150	8.582	2
gamma	127	0.002175	8.681	3
gamma	128	0.002215	8.840	5
gamma	129	0.002260	9.020	4
gamma	130	0.002320	9.258	8
gamma	131	0.002375	9.477	3
gamma	132	0.002420	9.657	6
gamma	133	0.002475	9.875	5
gamma	134	0.002520	10.055	4
gamma	135	0.002560	10.214	4
gamma	136	0.002605	10.393	5
gamma	137	0.002665	10.632	7
gamma	138	0.002715	10.831	3
gamma	139	0.002755	10.990	5
gamma	140	0.002815	11.228	7
gamma	141	0.002875	11.467	5
gamma	142	0.002925	11.666	5
gamma	143	0.002980	11.884	6
gamma	144	0.003045	12.143	7
gamma	145	0.003130	12.481	10
gamma	146	0.003210	12.799	6
gamma	147	0.003270	13.037	6
gamma	148	0.003335	13.296	7
gamma	149	0.003400	13.554	6
gamma	150	0.003455	13.772	5
gamma	151	0.003530	14.070	10
gamma	152	0.003635	14.487	11
gamma	153	0.003725	14.844	7
gamma	154	0.003790	15.103	6
gamma	155	0.003860	15.380	8
gamma	156	0.003920	15.619	4
gamma	157	0.003970	15.817	6
gamma	158	0.004060	16.174	12
gamma	159	0.004155	16.551	7
gamma	160	0.004220	16.809	6
gamma	161	0.004300	17.126	10
gamma	162	0.004380	17.443	6
gamma	163	0.004460	17.760	10
gamma	164	0.004570	18.196	12
gamma	165	0.004665	18.573	7
gamma	166	0.004745	18.890	9
gamma	167	0.004845	19.286	11
gamma	168	0.004955	19.722	11
gamma	169	0.005035	20.039	5
gamma	170	0.005100	20.296	8
gamma	171	0.005190	20.652	10
gamma	172	0.005300	21.088	12
gamma	173	0.005425	21.582	13
gamma	174	0.005535	22.017	9
gamma	175	0.005650	22.472	14
gamma	176	0.005760	22.907	8
gamma	177	0.005850	23.263	10
gamma	178	0.005945	23.639	9
gamma	179	0.006040	24.014	10
gamma	180	0.006135	24.389	9
gamma	181	0.006250	24.844	14
gamma	182	0.006405	25.456	17
gamma	183	0.006535	25.969	9
gamma	184	0.006655	26.443	15
gamma	185	0.006800	27.015	14
gamma	186	0.006900	27.410	6
gamma	187	0.007010	27.843	16
gamma	188	0.007160	28.435	14
gamma	189	0.007300	28.987	14
gamma	190	0.007425	29.479	11
gamma	191	0.007580	30.090	20
gamma	192	0.007760	30.799	16
gamma	193	0.007930	31.468	18
gamma	194	0.008085	32.079	13
gamma	195	0.008240	32.688	18
gamma	196	0.008490	33.672	32
gamma	197	0.008730	34.615	16
gamma	198	0.008910	35.322	20
gamma	199	0.009170	36.344	32
gamma	200	0.009405	37.266	15
gamma	201	0.009630	38.149	30
gamma	202	0.009910	39.247	26
gamma	203	0.010125	40.090	17
gamma	204	0.010335	40.913	25
gamma	205	0.010530	41.676	14
gamma	206	0.010690	42.303	18
gamma	207	0.010875	43.027	19
gamma	208	0.011035	43.653	13
gamma	209	0.011170	44.181	14
gamma	210	0.011335	44.826	19
gamma	211	0.011480	45.393	10
gamma	212	0.011675	46.155	29
gamma	213	0.011945	47.209	25
gamma	214	0.012130	47.931	12
gamma	215	0.012320	48.673	26
gamma	216	0.012660	49.999	42
gamma	217	0.013065	51.577	39
gamma	218	0.013420	52.960	32
gamma	219	0.013830	54.555	50
gamma	220	0.014235	56.129	31
gamma	221	0.014555	57.373	33
gamma	222	0.014855	58.537	27
gamma	223	0.015125	59.585	27
gamma	224	0.015355	60.477	19
gamma	225	0.015705	61.833	51
gamma	226	0.016225	63.847	53
gamma	227	0.016675	65.588	37
gamma	228	0.017020	66.921	32
gamma	229	0.017340	68.157	32
gamma	230	0.017700	69.547	40
gamma	231	0.018135	71.224	47
gamma	232	0.018630	73.132	52
gamma	233	0.019155	75.152	53
gamma	234	0.019605	76.883	37
gamma	235	0.019990	78.362	40
gamma	236	0.020325	79.648	27
gamma	237	0.020695	81.067	47
gamma	238	0.021120	82.696	38
gamma	239	0.021460	83.998	30
gamma	240	0.021900	85.682	58
gamma	241	0.022555	88.185	73
gamma	242	0.023210	90.685	58
gamma	243	0.023680	92.477	36
gamma	244	0.024115	94.134	51
gamma	245	0.024680	96.284	62
gamma	246	0.025230	98.374	48
gamma	247	0.025765	100.405	59
gamma	248	0.026275	102.338	43
gamma	249	0.026755	104.157	53
gamma	250	0.027245	106.011	45
gamma	251	0.027670	107.617	40
gamma	252	0.028095	109.223	45
gamma	253	0.028500	110.751	36
gamma	254	0.028955	112.466	55
gamma	255	0.029580	114.820	70
gamma	256	0.030330	117.640	80
gamma	257	0.031030	120.269	60
gamma	258	0.031710	122.818	76
gamma	259	0.032370	125.289	56
gamma	260	0.032975	127.551	65
gamma	261	0.033570	129.772	54
gamma	262	0.034185	132.066	69
gamma	263	0.034705	134.002	35
gamma	264	0.035135	135.602	51
gamma	265	0.035730	137.813	68
gamma	266	0.036420	140.374	70
gamma	267	0.037100	142.894	66
gamma	268	0.037630	144.856	40
gamma	269	0.038290	147.296	92
gamma	270	0.039220	150.727	94
gamma	271	0.040245	154.501	111
gamma	272	0.041300	158.377	100
gamma	273	0.042195	161.658	79
gamma	274	0.043185	165.280	119
gamma	275	0.044045	168.420	53
gamma	276	0.044930	171.645	124
gamma	277	0.046150	176.081	120
gamma	278	0.047385	180.559	127
gamma	279	0.048485	184.537	93
gamma	280	0.049450	188.019	100
gamma	281	0.050660	192.374	142
gamma	282	0.051940	196.969	114
gamma	283	0.053145	201.282	127
gamma	284	0.054245	205.210	93
gamma	285	0.055210	208.647	100
gamma	286	0.056115	211.864	81
gamma	287	0.056960	214.862	88
gamma	288	0.057795	217.819	79
gamma	289	0.058845	221.529	131
gamma	290	0.060275	226.568	155
gamma	291	0.061370	230.415	64
gamma	292	0.062150	233.150	92
gamma	293	0.063045	236.281	87
gamma	294	0.064345	240.819	173
gamma	295	0.065665	245.412	91
gamma	296	0.066650	248.831	106
gamma	297	0.067630	252.225	90
gamma	298	0.068565	255.455	97
gamma	299	0.069455	258.524	81
gamma	300	0.070680	262.737	164
gamma	301	0.072245	268.103	149
gamma	302	0.073480	272.323	98
gamma	303	0.074470	275.697	100
gamma	304	0.075405	278.876	87
gamma	305	0.076180	281.506	68
gamma	306	0.076985	284.233	93
gamma	307	0.078000	287.664	110
gamma	308	0.079400	292.383	170
gamma	309	0.080905	297.438	131
gamma	310	0.081885	300.719	65
gamma	311	0.083010	304.477	160
gamma	312	0.084670	310.004	172
gamma	313	0.086520	316.137	198
gamma	314	0.088110	321.387	120
gamma	315	0.089425	325.713	143
gamma	316	0.091565	332.723	285
gamma	317	0.093835	340.120	169
gamma	318	0.096155	347.637	295
gamma	319	0.099070	357.021	288
gamma	320	0.102245	367.164	347
gamma	321	0.104945	375.726	193
gamma	322	0.106825	381.654	183
gamma	323	0.108620	387.287	176
gamma	324	0.110305	392.551	161
gamma	325	0.111945	397.653	167
gamma	326	0.113500	402.471	144
gamma	327	0.114900	406.792	136
gamma	328	0.116320	411.159	148
gamma	329	0.117775	415.616	143
gamma	330	0.120040	422.522	310
gamma	331	0.122370	429.582	156
gamma	332	0.123835	434.000	137
gamma	333	0.125345	438.535	165
gamma	334	0.126970	443.394	160
gamma	335	0.128755	448.709	197
gamma	336	0.130840	454.884	220
gamma	337	0.132590	460.040	130
gamma	338	0.133935	463.986	139
gamma	339	0.135450	468.413	164
gamma	340	0.137850	475.390	316
gamma	341	0.140450	482.895	204
gamma	342	0.142815	489.676	269
gamma	343	0.145670	497.801	302
gamma	344	0.148490	505.763	262
gamma	345	0.151140	513.187	268
gamma	346	0.153690	520.278	242
gamma	347	0.156035	526.752	227
gamma	348	0.158395	533.224	245
gamma	349	0.160820	539.828	240
gamma	350	0.163340	546.640	264
gamma	351	0.165635	552.800	195
gamma	352	0.167955	558.984	269
gamma	353	0.170540	565.824	248
gamma	354	0.173470	573.513	338
gamma	355	0.177280	583.407	424
gamma	356	0.181775	594.931	475
gamma	357	0.186140	605.968	398
gamma	358	0.189525	614.421	279
gamma	359	0.192050	620.667	226
gamma	360	0.194455	626.569	255
gamma	361	0.197145	633.115	283
gamma	362	0.200010	640.024	290
gamma	363	0.203790	649.039	466
gamma	364	0.206990	656.581	174
gamma	365	0.209405	662.218	309
gamma	366	0.211785	667.728	167
gamma	367	0.213875	672.530	251
gamma	368	0.216885	679.384	351
gamma	369	0.220765	688.111	425
gamma	370	0.225330	698.226	488
gamma	371	0.229730	707.817	392
gamma	372	0.233325	715.538	327
gamma	373	0.236435	722.134	295
gamma	374	0.238975	727.464	213
gamma	375	0.241830	733.393	358
gamma	376	0.245525	740.970	381
gamma	377	0.248825	747.644	279
gamma	378	0.252355	754.688	427
gamma	379	0.255735	761.338	249
gamma	380	0.258755	767.203	355
gamma	381	0.261215	771.927	137
gamma	382	0.263655	776.564	351
gamma	383	0.266530	781.967	224
gamma	384	0.270250	788.860	520
gamma	385	0.274860	797.248	402
gamma	386	0.278665	804.043	359
gamma	387	0.282545	810.853	417
gamma	388	0.286480	817.637	370
gamma	389	0.290095	823.760	353
gamma	390	0.295025	831.941	633
gamma	391	0.300135	840.216	389
gamma	392	0.304450	847.041	474
gamma	393	0.308940	853.984	424
gamma	394	0.312895	859.967	367
gamma	395	0.316580	865.428	370
gamma	396	0.320035	870.450	321
gamma	397	0.323165	874.918	305
gamma	398	0.326515	879.612	365
gamma	399	0.329880	884.237	308
gamma	400	0.333615	889.264	439
gamma	401	0.337945	894.953	427
gamma	402	0.344105	902.787	805
gamma	403	0.350855	911.023	545
gamma	404	0.356970	918.170	678
gamma	405	0.361650	923.437	258
gamma	406	0.366390	928.593	690
gamma	407	0.374295	936.793	891
gamma	408	0.380750	943.118	400
gamma	409	0.385625	947.673	575
gamma	410	0.390605	952.131	421
gamma	411	0.393740	954.835	206
gamma	412	0.396535	957.180	353
gamma	413	0.400605	960.483	461
gamma	414	0.405375	964.184	493
gamma	415	0.411965	968.999	825
gamma	416	0.417580	972.828	298
gamma	417	0.421355	975.260	457
gamma	418	0.426480	978.379	568
gamma	419	0.431115	981.019	359
gamma	420	0.434940	983.069	406
gamma	421	0.439665	985.439	539
gamma	422	0.444750	987.790	478
gamma	423	0.450130	990.052	598
gamma	424	0.454690	991.788	314
gamma	425	0.457750	992.860	298
gamma	426	0.460595	993.789	271
gamma	427	0.463645	994.713	339
gamma	428	0.467445	995.761	421
gamma	429	0.472185	996.905	527
gamma	430	0.477140	997.910	464
gamma	431	0.481255	998.594	359
gamma	432	0.486740	999.297	738
gamma	433	0.492510	999.776	416
gamma	434	0.498550	999.992	792
gamma	435	0.504380	999.923	374
gamma	436	0.508255	999.727	401
gamma	437	0.514390	999.172	826
gamma	438	0.521155	998.210	527
gamma	439	0.526395	997.213	521
gamma	440	0.531420	996.051	484
gamma	441	0.535890	994.848	410
gamma	442	0.539990	993.603	410
gamma	443	0.544345	992.134	461
gamma	444	0.549190	990.321	508
gamma	445	0.554095	988.295	473
gamma	446	0.558475	986.323	403
gamma	447	0.563365	983.940	575
gamma	448	0.568535	981.212	459
gamma	449	0.573995	978.099	633
gamma	450	0.580350	974.176	638
gamma	451	0.586610	969.995	614
gamma	452	0.591370	966.606	338
gamma	453	0.595055	963.858	399
gamma	454	0.599220	960.622	434
gamma	455	0.603375	957.254	397
gamma	456	0.607270	953.973	382
gamma	457	0.611455	950.311	455
gamma	458	0.615370	946.759	328
gamma	459	0.619190	943.175	436
gamma	460	0.624570	937.929	640
gamma	461	0.629460	932.960	338
gamma	462	0.633400	928.818	450
gamma	463	0.638245	923.553	519
gamma	464	0.643650	917.459	562
gamma	465	0.649210	910.946	550
gamma	466	0.654940	903.974	596
gamma	467	0.660580	896.856	532
gamma	468	0.665595	890.313	471
gamma	469	0.671290	882.639	668
gamma	470	0.675980	876.124	270
gamma	471	0.678985	871.857	331
gamma	472	0.682330	867.023	338
gamma	473	0.685685	862.084	333
gamma	474	0.689085	856.987	347
gamma	475	0.693205	850.687	477
gamma	476	0.697260	844.354	334
gamma	477	0.701085	838.259	431
gamma	478	0.704780	832.261	308
gamma	479	0.707765	827.335	289
gamma	480	0.711650	820.817	488
gamma	481	0.715475	814.282	277
gamma	482	0.720015	806.374	631
gamma	483	0.726795	794.256	725
gamma	484	0.731880	784.927	292
gamma	485	0.734815	779.448	295
gamma	486	0.737750	773.900	292
gamma	487	0.740875	767.917	333
gamma	488	0.744270	761.329	346
gamma	489	0.747375	755.222	275
gamma	490	0.750475	749.049	345
gamma	491	0.753815	742.312	323
gamma	492	0.757415	734.950	397
gamma	493	0.761275	726.941	375
gamma	494	0.764720	719.693	314
gamma	495	0.768625	711.362	467
gamma	496	0.773535	700.714	515
gamma	497	0.777355	692.297	249
gamma	498	0.779905	686.613	261
gamma	499	0.782640	680.459	286
gamma	500	0.785810	673.251	348
gamma	501	0.789210	665.430	332
gamma	502	0.792440	657.915	314
gamma	503	0.795190	651.451	236
gamma	504	0.797445	646.106	215
gamma	505	0.799655	640.828	227
gamma	506	0.801915	635.389	225
gamma	507	0.804145	629.983	221
gamma	508	0.806320	624.672	214
gamma	509	0.808770	618.644	276
gamma	510	0.811550	611.746	280
gamma	511	0.814710	603.830	352
gamma	512	0.818230	594.919	352
gamma	513	0.820895	588.106	181
gamma	514	0.822695	583.472	179
gamma	515	0.824375	579.123	157
gamma	516	0.826820	572.755	332
gamma	517	0.830390	563.370	382
gamma	518	0.833480	555.164	236
gamma	519	0.835795	548.967	227
gamma	520	0.838255	542.334	265
gamma	521	0.840840	535.312	252
gamma	522	0.843555	527.880	291
gamma	523	0.846765	519.016	351
gamma	524	0.850245	509.314	345
gamma	525	0.853220	500.943	250
gamma	526	0.855940	493.227	294
gamma	527	0.858000	487.344	118
gamma	528	0.860600	479.871	402
gamma	529	0.863925	470.234	263
gamma	530	0.866495	462.726	251
gamma	531	0.868765	456.049	203
gamma	532	0.871355	448.382	315
gamma	533	0.873730	441.304	160
gamma	534	0.875625	435.623	219
gamma	535	0.878465	427.057	349
gamma	536	0.881265	418.548	211
gamma	537	0.883515	411.665	239
gamma	538	0.885730	404.849	204
gamma	539	0.887900	398.134	230
gamma	540	0.890375	390.429	265
gamma	541	0.893165	381.685	293
gamma	542	0.895795	373.385	233
gamma	543	0.897760	367.148	160
gamma	544	0.899055	363.020	99
gamma	545	0.900865	357.229	263
gamma	546	0.903070	350.138	178
gamma	547	0.904700	344.872	148
gamma	548	0.906310	339.649	174
gamma	549	0.907795	334.813	123
gamma	550	0.909005	330.860	119
gamma	551	0.910280	326.681	136
gamma	552	0.911460	322.803	100
gamma	553	0.912790	318.418	166
gamma	554	0.914605	312.411	197
gamma	555	0.916390	306.477	160
gamma	556	0.918015	301.054	165
gamma	557	0.920145	293.913	261
gamma	558	0.922540	285.840	218
gamma	559	0.924470	279.301	168
gamma	560	0.925895	274.454	117
gamma	561	0.927095	270.359	123
gamma	562	0.928300	266.236	118
gamma	563	0.929610	261.741	144
gamma	564	0.931080	256.680	150
gamma	565	0.932600	251.429	154
gamma	566	0.934005	246.559	127
gamma	567	0.935280	242.125	128
gamma	568	0.936375	238.307	91
gamma	569	0.937665	233.797	167
gamma	570	0.938830	229.713	66
gamma	571	0.939660	226.796	100
gamma	572	0.940705	223.116	109
gamma	573	0.941805	219.233	111
gamma	574	0.943265	214.065	181
gamma	575	0.944695	208.985	105
gamma	576	0.945815	204.996	119
gamma	577	0.947225	199.959	163
gamma	578	0.948425	195.660	77
gamma	579	0.949355	192.320	109
gamma	580	0.950245	189.118	69
gamma	581	0.951245	185.512	131
gamma	582	0.952590	180.649	138
gamma	583	0.953660	176.770	76
gamma	584	0.954475	173.810	87
gamma	585	0.955465	170.207	111
gamma	586	0.956515	166.376	99
gamma	587	0.957410	163.104	80
gamma	588	0.958115	160.523	61
gamma	589	0.958685	158.432	53
gamma	590	0.959490	155.476	108
gamma	591	0.960295	152.514	53
gamma	592	0.961100	149.547	108
gamma	593	0.961895	146.612	51
gamma	594	0.962420	144.671	54
gamma	595	0.962960	142.672	54
gamma	596	0.963595	140.319	73
gamma	597	0.964205	138.055	49
gamma	598	0.964845	135.677	79
gamma	599	0.965555	133.034	63
gamma	600	0.966105	130.985	47
gamma	601	0.966510	129.474	34
gamma	602	0.966755	128.559	15
gamma	603	0.967095	127.289	53
gamma	604	0.967665	125.158	61
gamma	605	0.968395	122.424	85
gamma	606	0.969130	119.668	62
gamma	607	0.969770	117.265	66
gamma	608	0.970415	114.839	63
gamma	609	0.971050	112.448	64
gamma	610	0.971765	109.751	79
gamma	611	0.972365	107.485	41
gamma	612	0.972760	105.992	38
gamma	613	0.973195	104.346	49
gamma	614	0.973600	102.812	32
gamma	615	0.973915	101.618	31
gamma	616	0.974320	100.082	50
gamma	617	0.974735	98.507	33
gamma	618	0.974995	97.519	19
gamma	619	0.975275	96.455	37
gamma	620	0.975645	95.047	37
gamma	621	0.976085	93.372	51
gamma	622	0.976485	91.848	29
gamma	623	0.976760	90.800	26
gamma	624	0.977020	89.808	26
gamma	625	0.977445	88.185	59
gamma	626	0.977795	86.848	11
gamma	627	0.978120	85.605	54
gamma	628	0.978570	83.883	36
gamma	629	0.979015	82.179	53
gamma	630	0.979420	80.626	28
gamma	631	0.979640	79.782	16
gamma	632	0.979855	78.957	27
gamma	633	0.980225	77.536	47
gamma	634	0.980620	76.018	32
gamma	635	0.980930	74.825	30
gamma	636	0.981340	73.247	52
gamma	637	0.981810	71.436	42
gamma	638	0.982190	69.971	34
gamma	639	0.982530	68.659	34
gamma	640	0.982885	67.288	37
gamma	641	0.983200	66.071	26
gamma	642	0.983460	65.066	26
gamma	643	0.983710	64.099	24
gamma	644	0.983980	63.053	30
gamma	645	0.984270	61.930	28
gamma	646	0.984670	60.380	52
gamma	647	0.985155	58.499	45
gamma	648	0.985495	57.178	23
gamma	649	0.985725	56.285	23
gamma	650	0.985980	55.294	28
gamma	651	0.986275	54.146	31
gamma	652	0.986565	53.018	27
gamma	653	0.986820	52.025	24
gamma	654	0.987060	51.090	24
gamma	655	0.987380	49.843	40
gamma	656	0.987690	48.634	22
gamma	657	0.987935	47.678	27
gamma	658	0.988190	46.682	24
gamma	659	0.988435	45.725	25
gamma	660	0.988700	44.689	28
gamma	661	0.988940	43.751	20
gamma	662	0.989095	43.144	11
gamma	663	0.989285	42.401	27
gamma	664	0.989525	41.461	21
gamma	665	0.989785	40.443	31
gamma	666	0.990045	39.424	21
gamma	667	0.990230	38.698	16
gamma	668	0.990395	38.051	17
gamma	669	0.990570	37.364	18
gamma	670	0.990780	36.540	24
gamma	671	0.990980	35.755	16
gamma	672	0.991215	34.831	31
gamma	673	0.991405	34.085	7
gamma	674	0.991520	33.632	16
gamma	675	0.991675	33.023	15
gamma	676	0.991780	32.610	6
gamma	677	0.991890	32.177	16
gamma	678	0.992055	31.528	17
gamma	679	0.992210	30.917	14
gamma	680	0.992360	30.327	16
gamma	681	0.992540	29.617	20
gamma	682	0.992750	28.790	22
gamma	683	0.992965	27.942	21
gamma	684	0.993150	27.212	16
gamma	685	0.993305	26.601	15
gamma	686	0.993430	26.107	10
gamma	687	0.993560	25.594	16
gamma	688	0.993750	24.844	22
gamma	689	0.993945	24.073	17
gamma	690	0.994080	23.540	10
gamma	691	0.994195	23.085	13
gamma	692	0.994310	22.630	10
gamma	693	0.994440	22.116	16
gamma	694	0.994580	21.562	12
gamma	695	0.994685	21.147	9
gamma	696	0.994750	20.890	4
gamma	697	0.994810	20.652	8
gamma	698	0.994930	20.177	16
gamma	699	0.995065	19.643	11
gamma	700	0.995155	19.286	7
gamma	701	0.995275	18.811	17
gamma	702	0.995385	18.375	5
gamma	703	0.995465	18.058	11
gamma	704	0.995550	17.721	6
gamma	705	0.995625	17.423	9
gamma	706	0.995715	17.067	9
gamma	707	0.995815	16.670	11
gamma	708	0.995920	16.253	10
gamma	709	0.996020	15.857	10
gamma	710	0.996105	15.519	7
gamma	711	0.996165	15.281	5
gamma	712	0.996225	15.043	7
gamma	713	0.996300	14.745	8
gamma	714	0.996375	14.447	7
gamma	715	0.996460	14.110	10
gamma	716	0.996555	13.733	9
gamma	717	0.996645	13.375	9
gamma	718	0.996720	13.077	6
gamma	719	0.996800	12.759	10
gamma	720	0.996875	12.461	5
gamma	721	0.996935	12.222	7
gamma	722	0.997010	11.924	8
gamma	723	0.997060	11.725	2
gamma	724	0.997110	11.527	8
gamma	725	0.997160	11.328	2
gamma	726	0.997200	11.169	6
gamma	727	0.997250	10.970	4
gamma	728	0.997315	10.711	9
gamma	729	0.997395	10.393	7
gamma	730	0.997470	10.094	8
gamma	731	0.997530	9.856	4
gamma	732	0.997575	9.676	5
gamma	733	0.997625	9.477	5
gamma	734	0.997675	9.278	5
gamma	735	0.997735	9.039	7
gamma	736	0.997795	8.801	5
gamma	737	0.997835	8.641	3
gamma	738	0.997870	8.502	4
gamma	739	0.997905	8.362	3
gamma	740	0.997940	8.223	4
gamma	741	0.997985	8.044	5
